,_id,nombre,latitud,longitud,category,distance,geometry
63,{'$oid': '61927efa6b0640e76d094f9e'},Bodhi Kosher Thai,34.059078216552734,-118.39195251464844,Thai Restaurant,1.723650367387355,"{'type': 'Point', 'coordinates': [-118.39195251464844, 34.059078216552734]}"
64,{'$oid': '61927efa6b0640e76d094f90'},Lovvvit,34.066975,-118.386797,Tech Startup,1.7546921965987445,"{'type': 'Point', 'coordinates': [-118.386797, 34.066975]}"
65,{'$oid': '61927efa6b0640e76d094f8d'},Telaria,34.057045,-118.41751000000001,Tech Startup,1.7887321975624224,"{'type': 'Point', 'coordinates': [-118.41751000000001, 34.057045]}"
66,{'$oid': '61927efa6b0640e76d094fe6'},Starbucks,34.0548210144043,-118.39804077148438,Coffee Shop,1.7957219880706388,"{'type': 'Point', 'coordinates': [-118.39804077148438, 34.0548210144043]}"
67,{'$oid': '61927efa6b0640e76d094f99'},"Rent-A-Geek, LA",34.05504008333333,-118.396771,Tech Startup,1.8221188257310128,"{'type': 'Point', 'coordinates': [-118.396771, 34.05504008333333]}"
68,{'$oid': '61927efa6b0640e76d094fbf'},Hillel Hebrew Academy,34.059079,-118.390321,Elementary School,1.8357542688609838,"{'type': 'Point', 'coordinates': [-118.390321, 34.059079]}"
69,{'$oid': '61927efa6b0640e76d094fcc'},The Low Key Cutty In The Mix Spot II - Electric Boogaloo,34.05408477783203,-118.41242980957031,Bar,1.8504851594881666,"{'type': 'Point', 'coordinates': [-118.41242980957031, 34.05408477783203]}"
70,{'$oid': '61927efa6b0640e76d094fe2'},Starbucks,34.059551,-118.389604,Coffee Shop,1.8542516124899164,"{'type': 'Point', 'coordinates': [-118.389604, 34.059551]}"
71,{'$oid': '61927efa6b0640e76d094fa8'},Kohler Experience Center,34.077417,-118.38745700000001,Design Studio,1.8737760198628557,"{'type': 'Point', 'coordinates': [-118.38745700000001, 34.077417]}"
72,{'$oid': '61927efa6b0640e76d094fa3'},Bodhi Vegetarian & Vegan Kitchen,34.0555978236871,-118.39302141472005,Thai Restaurant,1.9493050959076292,"{'type': 'Point', 'coordinates': [-118.39302141472005, 34.0555978236871]}"
73,{'$oid': '61927efa6b0640e76d094fcf'},The Troubadour,34.081558808797816,-118.38937484218195,Music Venue,1.988325452476469,"{'type': 'Point', 'coordinates': [-118.38937484218195, 34.081558808797816]}"
74,{'$oid': '61927efa6b0640e76d094f9a'},Livestream,34.066873484010294,-118.38412335629508,Tech Startup,1.999421208174209,"{'type': 'Point', 'coordinates': [-118.38412335629508, 34.066873484010294]}"
75,{'$oid': '61927efa6b0640e76d094fc5'},Olivetta,34.0805544,-118.3882164,Restaurant,2.0003374287129936,"{'type': 'Point', 'coordinates': [-118.3882164, 34.0805544]}"
76,{'$oid': '61927efa6b0640e76d094f86'},Adly Inc. HQ,34.077156,-118.385694,Tech Startup,2.0074788961470307,"{'type': 'Point', 'coordinates': [-118.385694, 34.077156]}"
77,{'$oid': '61927efa6b0640e76d094f8f'},Healthvana,34.077644225924146,-118.38556133368853,Tech Startup,2.041447474116907,"{'type': 'Point', 'coordinates': [-118.38556133368853, 34.077644225924146]}"
78,{'$oid': '61927efa6b0640e76d094fa7'},Toto,34.08106350271087,-118.3876610784363,Design Studio,2.0753057621692763,"{'type': 'Point', 'coordinates': [-118.3876610784363, 34.08106350271087]}"
79,{'$oid': '61927efa6b0640e76d094fb6'},Kathryn M. Ireland Textiles and Design,34.081705,-118.387762,Design Studio,2.112184244371148,"{'type': 'Point', 'coordinates': [-118.387762, 34.081705]}"
80,{'$oid': '61927efa6b0640e76d094fa0'},Gracias Madre,34.0809714280427,-118.38697774974547,Mexican Restaurant,2.1195755384702233,"{'type': 'Point', 'coordinates': [-118.38697774974547, 34.0809714280427]}"
81,{'$oid': '61927efa6b0640e76d094fa6'},Art Services Melrose,34.08155338702462,-118.38744425818419,Design Studio,2.12449149129551,"{'type': 'Point', 'coordinates': [-118.38744425818419, 34.08155338702462]}"
82,{'$oid': '61927efa6b0640e76d094fba'},Laurel and Wolf,34.081878662109375,-118.38744354248047,Design Studio,2.1471256439707074,"{'type': 'Point', 'coordinates': [-118.38744354248047, 34.081878662109375]}"
83,{'$oid': '61927efa6b0640e76d094fe5'},Starbucks,34.076992,-118.383545,Coffee Shop,2.1825527789435255,"{'type': 'Point', 'coordinates': [-118.383545, 34.076992]}"
84,{'$oid': '61927efa6b0640e76d094fad'},Daniel Clayton Gallery,34.080263,-118.385151,Design Studio,2.2149166829414666,"{'type': 'Point', 'coordinates': [-118.385151, 34.080263]}"
85,{'$oid': '61927efa6b0640e76d094faa'},Between The Sheets,34.07832186881332,-118.38384956581655,Furniture / Home Store,2.2161828373223575,"{'type': 'Point', 'coordinates': [-118.38384956581655, 34.07832186881332]}"
86,{'$oid': '61927efa6b0640e76d094fc0'},Horace Mann School,34.06523224265794,-118.38209170198506,Elementary School,2.2182406049443975,"{'type': 'Point', 'coordinates': [-118.38209170198506, 34.06523224265794]}"
87,{'$oid': '61927efa6b0640e76d094fb5'},Cache,34.080718994140625,-118.3843765258789,Design Studio,2.3022755599310116,"{'type': 'Point', 'coordinates': [-118.3843765258789, 34.080718994140625]}"
88,{'$oid': '61927efa6b0640e76d094f9c'},Christian Louboutin,34.082362778421334,-118.38550857591737,Shoe Store,2.3205427670331478,"{'type': 'Point', 'coordinates': [-118.38550857591737, 34.082362778421334]}"
